dataset,n,Impacto Optimo,Impacto Conseguido,tiempo
TB-H1-MSE-MI,5,2,2.0,73.803
TB-H1-MSE-MI,6,4,4.0,114.761
TB-H1-MSE-MI,6,3,3.0,119.753
TB-H1-MSE-MI,7,4,4.0,165.062
TB-H1-MSE-MI,8,4,4.0,209.738
TB-H1-MSE-MI,9,5,5.0,236.373
TB-H1-MSE-MI,9,5,5.0,296.167
TB-H1-MSE-MI,10,6,6.0,386.229
TB-H1-MSE-MI,11,6,6.0,278.22
TB-H1-MSE-MI,12,7,7.0,324.101
TB-H1-MSE-MI,13,8,8.0,596.459
TB-H1-MSE-MI,14,9,9.0,594.432
TB-H1-ME-MI,5,2,2.0,65.824
TB-H1-ME-MI,6,4,4.0,83.23
TB-H1-ME-MI,6,3,3.0,82.776
TB-H1-ME-MI,7,4,4.0,113.204
TB-H1-ME-MI,8,4,4.0,154.922
TB-H1-ME-MI,9,5,5.0,169.545
TB-H1-ME-MI,9,5,5.0,188.14
TB-H1-ME-MI,10,6,6.0,242.362
TB-H1-ME-MI,11,6,6.0,268.283
TB-H1-ME-MI,12,7,7.0,299.277
TB-H1-ME-MI,13,8,8.0,354.573
TB-H1-ME-MI,14,9,9.0,398.977
TB-H2-MSE-MI,5,2,2.0,69.813
TB-H2-MSE-MI,6,4,4.0,100.732
TB-H2-MSE-MI,6,3,3.0,115.691
TB-H2-MSE-MI,7,4,4.0,151.593
TB-H2-MSE-MI,8,4,4.0,193.708
TB-H2-MSE-MI,9,5,5.0,222.404
TB-H2-MSE-MI,9,5,5.0,261.721
TB-H2-MSE-MI,10,6,6.0,287.297
TB-H2-MSE-MI,11,6,6.0,288.191
TB-H2-MSE-MI,12,7,7.0,322.101
TB-H2-MSE-MI,13,8,8.0,475.188
TB-H2-MSE-MI,14,9,9.0,631.791
TB-H2-ME-MI,5,2,2.0,64.104
TB-H2-ME-MI,6,4,4.0,83.777
TB-H2-ME-MI,6,3,3.0,80.782
TB-H2-ME-MI,7,4,4.0,112.758
TB-H2-ME-MI,8,4,4.0,152.627
TB-H2-ME-MI,9,5,5.0,168.585
TB-H2-ME-MI,9,5,5.0,183.502
TB-H2-ME-MI,10,6,6.0,246.403
TB-H2-ME-MI,11,6,6.0,264.008
TB-H2-ME-MI,12,7,7.0,296.206
TB-H2-ME-MI,13,8,8.0,350.126
TB-H2-ME-MI,14,9,9.0,405.915
TB-H1-MSE-MBI,5,2,2.0,2.993
TB-H1-MSE-MBI,6,4,4.0,5.004
TB-H1-MSE-MBI,6,3,3.0,4.987
TB-H1-MSE-MBI,7,4,4.0,5.983
TB-H1-MSE-MBI,8,4,4.0,7.98
TB-H1-MSE-MBI,9,5,5.0,8.977
TB-H1-MSE-MBI,9,5,5.0,9.973
TB-H1-MSE-MBI,10,6,5.0,14.961
TB-H1-MSE-MBI,11,6,6.0,13.962
TB-H1-MSE-MBI,12,7,7.0,14.963
TB-H1-MSE-MBI,13,8,7.0,23.2
TB-H1-MSE-MBI,14,9,9.0,19.948
TB-H1-ME-MBI,5,2,2.0,2.992
TB-H1-ME-MBI,6,4,4.0,4.982
TB-H1-ME-MBI,6,3,3.0,4.007
TB-H1-ME-MBI,7,4,4.0,6.98
TB-H1-ME-MBI,8,4,4.0,7.976
TB-H1-ME-MBI,9,5,5.0,9.972
TB-H1-ME-MBI,9,5,5.0,9.972
TB-H1-ME-MBI,10,6,6.0,10.97
TB-H1-ME-MBI,11,6,6.0,12.965
TB-H1-ME-MBI,12,7,6.0,15.959
TB-H1-ME-MBI,13,8,7.0,18.949
TB-H1-ME-MBI,14,9,9.0,20.942
TB-H2-MSE-MBI,5,2,2.0,2.992
TB-H2-MSE-MBI  ,6,4,4.0,4.987
TB-H2-MSE-MBI,6,3,3.0,3.991
TB-H2-MSE-MBI,7,4,4.0,5.983
TB-H2-MSE-MBI,8,4,4.0,7.979
TB-H2-MSE-MBI,9,5,5.0,9.973
TB-H2-MSE-MBI,9,5,5.0,8.991
TB-H2-MSE-MBI,10,6,6.0,12.966
TB-H2-MSE-MBI,11,6,6.0,15.957
TB-H2-MSE-MBI,12,7,7.0,16.954
TB-H2-MSE-MBI,13,8,8.0,16.954
TB-H2-MSE-MBI,14,9,9.0,19.945
TB-H2-ME-MBI,5,2,2.0,3.989
TB-H2-ME-MBI,6,4,4.0,4.0
TB-H2-ME-MBI,6,3,3.0,3.991
TB-H2-ME-MBI,7,4,4.0,5.984
TB-H2-ME-MBI,8,4,4.0,8.975
TB-H2-ME-MBI,9,5,5.0,9.974
TB-H2-ME-MBI,9,5,5.0,9.974
TB-H2-ME-MBI,10,6,6.0,11.965
TB-H2-ME-MBI,11,6,6.0,13.962
TB-H2-ME-MBI,12,7,7.0,15.958
TB-H2-ME-MBI,13,8,8.0,17.95
TB-H2-ME-MBI,14,9,9.0,19.947
